epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,8341.41,1.25156,0.81529,0.92374,0.78885,0.51067,0.6196,0.37044,1.30985,0.85394,0.94982,0.003268,0.003268,0.003268
138,8402.69,1.23169,0.80338,0.92117,0.79453,0.50881,0.61774,0.37044,1.30829,0.85077,0.94763,0.0032185,0.0032185,0.0032185
139,8464.15,1.23737,0.80593,0.9193,0.79177,0.51206,0.61768,0.3705,1.30715,0.85072,0.94768,0.003169,0.003169,0.003169
140,8525.49,1.23564,0.80797,0.92005,0.8045,0.50788,0.61803,0.37035,1.30875,0.85448,0.94778,0.0031195,0.0031195,0.0031195
141,8586.11,1.23289,0.80214,0.91825,0.81971,0.50191,0.61903,0.36973,1.30733,0.85188,0.94655,0.00307,0.00307,0.00307
142,8648.13,1.22259,0.79331,0.9183,0.81953,0.50278,0.61846,0.36949,1.30641,0.85005,0.94619,0.0030205,0.0030205,0.0030205
143,8710.64,1.22653,0.799,0.91889,0.81927,0.50251,0.61732,0.37004,1.30464,0.84707,0.94548,0.002971,0.002971,0.002971
144,8772.56,1.22816,0.79683,0.9202,0.81771,0.50139,0.6174,0.37057,1.30507,0.84835,0.94537,0.0029215,0.0029215,0.0029215
145,8834.85,1.22886,0.79454,0.91927,0.82303,0.50232,0.61758,0.37019,1.30908,0.84873,0.94654,0.002872,0.002872,0.002872
146,8897.12,1.21736,0.78858,0.91587,0.80123,0.51206,0.62114,0.37122,1.30952,0.84869,0.9467,0.0028225,0.0028225,0.0028225
147,8959.08,1.22753,0.79875,0.91716,0.80687,0.51113,0.61991,0.37185,1.31191,0.85156,0.94736,0.002773,0.002773,0.002773
148,9021.23,1.21314,0.79243,0.91554,0.79834,0.51484,0.62034,0.37201,1.31274,0.85222,0.94804,0.0027235,0.0027235,0.0027235
149,9082.79,1.22318,0.78653,0.91559,0.79914,0.51391,0.61994,0.3732,1.31305,0.85414,0.94803,0.002674,0.002674,0.002674
150,9143.4,1.21324,0.78455,0.91353,0.80788,0.51067,0.61862,0.37132,1.3149,0.85567,0.94882,0.0026245,0.0026245,0.0026245
151,9204.28,1.21581,0.78449,0.91611,0.80658,0.51345,0.61915,0.37188,1.31547,0.8538,0.9486,0.002575,0.002575,0.002575
152,9264.65,1.20926,0.78355,0.91314,0.80661,0.5146,0.61915,0.37198,1.31589,0.85218,0.94914,0.0025255,0.0025255,0.0025255
153,9325.22,1.20598,0.77625,0.91361,0.80099,0.51711,0.61892,0.37187,1.31625,0.85056,0.94967,0.002476,0.002476,0.002476
154,9385.98,1.21224,0.78274,0.91472,0.78596,0.52134,0.62107,0.37158,1.31541,0.8514,0.94991,0.0024265,0.0024265,0.0024265
155,9446.86,1.2123,0.78235,0.91315,0.76353,0.52968,0.62051,0.37147,1.31284,0.84981,0.94927,0.002377,0.002377,0.002377
156,9507.93,1.20113,0.77769,0.91125,0.79018,0.51763,0.61984,0.37152,1.31169,0.84842,0.94885,0.0023275,0.0023275,0.0023275
157,9568.99,1.20073,0.77022,0.91348,0.79092,0.5167,0.61918,0.37122,1.31121,0.85098,0.94809,0.002278,0.002278,0.002278
158,9629.72,1.18839,0.77043,0.90891,0.78431,0.51994,0.61931,0.37097,1.30962,0.84965,0.94792,0.0022285,0.0022285,0.0022285
159,9690.69,1.19885,0.77213,0.91129,0.79531,0.51484,0.61934,0.37037,1.30794,0.85123,0.94797,0.002179,0.002179,0.002179
160,9751.39,1.19319,0.77531,0.91492,0.79362,0.51546,0.62024,0.3704,1.30854,0.85445,0.94861,0.0021295,0.0021295,0.0021295
161,9811.88,1.19335,0.77111,0.91086,0.78779,0.51999,0.61959,0.37036,1.30673,0.85341,0.94806,0.00208,0.00208,0.00208
162,9872.78,1.19521,0.76968,0.90943,0.79141,0.52089,0.62038,0.36985,1.31034,0.8558,0.94851,0.0020305,0.0020305,0.0020305
163,9933.73,1.18043,0.75746,0.90891,0.78083,0.52319,0.61874,0.37002,1.31149,0.85384,0.94873,0.001981,0.001981,0.001981
164,9994.61,1.19612,0.76831,0.90914,0.78092,0.52273,0.61809,0.3688,1.31448,0.85333,0.94911,0.0019315,0.0019315,0.0019315
165,10055.1,1.18781,0.76715,0.91002,0.78654,0.52273,0.61794,0.36876,1.31523,0.85398,0.94955,0.001882,0.001882,0.001882
166,10115.8,1.18549,0.76349,0.90922,0.78207,0.52458,0.61718,0.36917,1.31508,0.8554,0.94953,0.0018325,0.0018325,0.0018325
167,10176.8,1.18057,0.7612,0.90697,0.77813,0.52319,0.61609,0.36914,1.31472,0.85475,0.94973,0.001783,0.001783,0.001783
168,10237.5,1.17252,0.75706,0.90719,0.78275,0.52412,0.6157,0.36922,1.3142,0.85337,0.94962,0.0017335,0.0017335,0.0017335
169,10298.1,1.17157,0.75579,0.90514,0.79652,0.51746,0.61634,0.36952,1.3158,0.85568,0.95016,0.001684,0.001684,0.001684
170,10359.2,1.17548,0.75621,0.90848,0.79482,0.51948,0.61725,0.36907,1.31577,0.85359,0.95035,0.0016345,0.0016345,0.0016345
